MassTagID,FeatureID,STAC_Score,Mass_Error,NET_Error,UP
1048,864,0.9864,0.0512,0.0030,1.0000
15085,866,0.9862,0.6671,0.0018,1.0000
31320475,866,5.1088E-26,23.2223,0.0472,0
11265,867,0.9621,0.0479,-0.0157,1.0000
11979,868,0.9323,0.4282,-0.0196,1.0000
15695,870,0.9862,0.3711,0.0029,1.0000
1237,874,0.9859,0.3124,0.0038,1.0000
1115,876,0.9863,-0.6267,-0.0010,1.0000
7393905,876,0.9240,4.4349,0.0027,9.6209E-33
1701,887,0.9813,-1.3355,0.0069,1.0000
1323,888,0.9813,0.0690,0.0090,1.0000
15689,889,0.9866,-0.3723,0.0012,1.0000
31395186,890,7.3145E-05,5.8971,-0.0497,1.0000
7997833,893,0.0010,10.2795,-0.0200,1.0000
15732,894,0.9840,0.5201,0.0063,1.0000
11662,896,0.9868,0.0734,0.0007,1.0000
1244,897,0.6800,0.2466,0.0285,1.0000
15192,898,0.9837,0.3762,-0.0069,1.0000
7393734,898,7.0684E-20,23.1023,-0.0087,0
12251,900,0.9848,-0.0454,-0.0057,1.0000
21176,901,0.9846,0.1118,0.0061,1.0000
11061,902,0.9865,0.3591,-0.0022,1.0000
11412,907,0.9810,-0.6903,-0.0085,1.0000
11535,908,0.9845,0.2631,-0.0061,1.0000
11267,908,0.7834,0.2631,-0.0263,2.6690E-91
1002,909,0.9831,-0.1674,-0.0075,1.0000
1190,912,0.9777,0.2651,0.0110,1.0000
1687,913,0.9868,0.1281,-0.0005,0.9851
4208272,913,0.9868,0.1281,-0.0002,0.0149
28300449,918,0.9810,-0.4226,0.0091,1.0000
11497,920,0.9810,0.3887,-0.0091,1.0000
1006,921,0.9864,-0.0803,-0.0029,1.0000
16366,921,0.0057,-6.0881,-0.0013,0
11393,922,0.9786,-1.5670,-0.0076,1.0000
1184,925,0.9853,-0.1976,0.0051,1.0000
14437817,927,0.0176,-9.2814,0.0124,1.0000
1255,930,0.9675,-1.0250,-0.0136,1.0000
1299,930,0.9135,3.6640,-0.0137,9.5533E-25
12396,931,5.2563E-18,21.5083,-0.0262,0
1105,933,0.9827,0.3741,0.0078,1.0000
11952,935,0.9786,-0.1874,0.0107,1.0000
24207,936,0.9751,-0.3246,0.0122,1.0000
1293,941,0.9862,0.1376,0.0035,1.0000
12310,941,6.7730E-20,-23.0975,0.0069,0
11251,942,0.9357,-0.5750,-0.0191,1.0000
23375,943,0.9863,0.6511,0.0009,1.0000
1029,945,0.9868,0.1635,0.0005,1.0000
14568,946,0.9419,-0.2316,-0.0186,1.0000
15195,947,0.9783,0.4939,-0.0107,1.0000
22068,947,0.0072,9.4219,0.0152,0
15780,951,0.9821,0.4121,-0.0083,1.0000
11391,955,0.9851,-0.4288,0.0051,1.0000
11011,956,0.9861,0.1847,-0.0036,1.0000
11049,957,0.9865,0.0221,-0.0026,1.0000
78457441,957,1.6340E-05,7.9512,-0.0472,0
11069,961,0.9552,0.5682,-0.0168,1.0000
43170948,962,0.0028,-6.7183,0.0122,1.0000
1134,964,0.9863,0.3611,0.0028,0.9036
11525,964,0.9859,0.3611,-0.0031,0.0964
1335,966,0.9862,-0.5910,-0.0019,1.0000
1459,971,0.9743,0.6270,0.0121,1.0000
1121,972,0.9860,0.2233,-0.0038,1.0000
1299,975,0.9862,0.6040,0.0019,1.0000
1255,975,0.9420,-4.0850,0.0020,9.7203E-21
30064983,977,0.9623,-1.4007,-0.0123,1.0000
1215,978,0.9856,0.4526,0.0040,1.0000
1623,980,0.9869,0.0328,0.0003,1.0000
30065698,981,0.0169,1.1930,-0.0436,1.0000
4207580,982,0.9859,0.8611,0.0013,1.0000
1024,985,0.9842,-1.4113,-0.0003,1.0000
11535,986,0.9816,0.5212,0.0085,0.9955
11267,986,0.9759,0.5212,-0.0117,0.0045
12119,988,0.9860,0.4138,-0.0033,1.0000
14197,991,0.9865,0.4534,0.0015,1.0000
12242,995,0.9860,0.4281,0.0034,1.0000
11975,999,0.9831,-0.3112,-0.0074,1.0000
1145,1001,0.9868,0.2847,0.0003,1.0000
1095,1009,0.9858,0.4937,0.0037,1.0000
14199,1010,0.9867,-0.2241,-0.0009,1.0000
30063299,1010,7.1779E-15,-18.0191,-0.0357,0
11020,1011,0.9409,-0.3883,-0.0187,1.0000
11655,1015,0.9864,0.1324,-0.0029,1.0000
12541,1015,9.1016E-06,-12.6962,0.0193,0
2021,1016,0.9795,-0.3406,0.0102,1.0000
1110,1018,0.9867,0.4042,-0.0003,1.0000
38625714,1020,4.2039E-08,-13.5165,0.0351,1.0000
7997751,1022,0.9858,0.7840,-0.0024,1.0000
4199379,1024,0.9856,0.7640,0.0020,1.0000
10965,1025,0.9864,0.6082,0.0009,1.0000
16790,1026,0.9863,0.6451,0.0013,1.0000
1212,1028,0.9857,-0.2577,0.0043,1.0000
11435,1032,0.9866,0.0108,-0.0022,1.0000
1203,1035,0.9856,0.0426,0.0047,1.0000
11275,1044,0.9806,0.2295,-0.0095,0.8553
15246,1044,0.9794,0.2295,0.0102,0.1447
